Location,data_2012.Value,data_2022.Value,difference
AUS,85.05627279,118.2673889,33.21111611
AUT,89.0777369,138.248242,49.1705051
BEL,100.3097275,106.2738339,5.9641064
BGR,105.678123,82.82122459,-22.85689841
CAN,95.31219253,145.1535356,49.84134307
CHE,92.53723446,122.3437595,29.80652504
CHL,84.30441898,109.4830183,25.17859932
CZE,100.4849622,142.0321656,41.5472034
DEU,94.44525629,132.6054832,38.16022691
DNK,92.36871045,110.5966041,18.22789365
EA,103.7929163,117.9903009,14.1973846
EA17,103.8952528,117.9452415,14.0499887
ESP,110.856956,120.2478624,9.3909064
EST,91.40015224,116.5607625,25.16061026
FIN,103.1182514,94.75672337,-8.36152803
FRA,106.6581158,111.3468036,4.6886878
GBR,95.02661129,120.4140478,25.38743651
GRC,122.5236296,110.06148,-12.4621496
HRV,112.0687085,99.12533822,-12.94337028
HUN,99.09878464,128.3335173,29.23473266
IRL,78.64172231,119.8184732,41.17675089
ITA,119.402549,91.73399878,-27.66855022
JPN,96.38947919,113.0296289,16.64014971
KOR,111.3799418,92.75592063,-18.62402117
LTU,100.3582483,107.6898359,7.3315876
LUX,90.23221014,153.7793607,63.54715056
LVA,107.6646621,113.8530521,6.18839
NLD,106.6109257,140.7656943,34.1547686
NOR,102.0971283,117.4375834,15.3404551
NZL,81.51974498,135.8992913,54.37954632
OECD,96.0816949,123.6449302,27.5632353
POL,111.2766547,102.2844456,-8.9922091
PRT,98.30499241,148.1534454,49.84845299
ROU,119.9572541,70.04239453,-49.91485957
SVK,99.84943214,121.3787552,21.52932306
SVN,114.6787252,117.5424086,2.8636834
SWE,82.10599089,110.8355436,28.72955271
USA,90.23807161,134.0087803,43.77070869
ZAF,100.61753,94.69223082,-5.92529918
